SVM_1	SVM_2	SVM_3	SVM_4	SVM_5	SVM_6	SVM_7	SVM_8	SVM_9	SVM_10
1.0988630487917956	1.9498461477767928	1.5817395487247576	2.56661255354212	1.1421033228215387	1.7853571071357126	1.4646159906268945	1.4455448799674122	1.610558909198915	2.5352711886502397
0.10988630487917957	0.19498461477767928	0.15817395487247576	0.25666125535421197	0.11421033228215387	0.17853571071357127	0.14646159906268946	0.14455448799674123	0.1610558909198915	0.253527118865024
FP	FP	FP	FP	FP	FP	FP	FP	FP	FP
31.35	24.41	36.41	40.95	32.66	35.25	28.07	39.48	35.69	52.18
1.0988630487917956	1.9498461477767932	1.5817395487247576	2.56661255354212	1.1421033228215387	1.7853571071357126	1.4646159906268945	1.4455448799674122	1.610558909198915	2.5352711886502397
0.10988630487917957	0.1949846147776793	0.15817395487247576	0.25666125535421197	0.11421033228215387	0.17853571071357127	0.14646159906268946	0.14455448799674123	0.1610558909198915	0.253527118865024
FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
17.97	18.66	10.58	16.9	17.46	16.04	17.46	12.03	15.79	16.09
1.2446284586172693	1.4368020044529448	1.5045265035884214	1.5588457268119895	1.8943072612435397	1.2563439019631528	0.78	1.0625911725588537	0.8519976525789258	1.7612211672586724
0.12446284586172693	0.14368020044529448	0.15045265035884214	0.15588457268119896	0.18943072612435397	0.12563439019631528	0.078	0.10625911725588537	0.08519976525789258	0.17612211672586725
